DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE127,2011,58000,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE128,2011,73800,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE129,2011,61300,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE12A,2011,59700,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE12B,2011,63100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE12C,2011,62500,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE13,2011,61100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE131,2011,59700,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE132,2011,56100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE133,2011,58000,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE134,2011,64300,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE135,2011,64600,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE136,2011,58200,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE137,2011,66400,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE138,2011,59000,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE139,2011,65500,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE13A,2011,57500,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE14,2011,65800,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE141,2011,64700,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE142,2011,58000,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE143,2011,60800,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE144,2011,66600,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE145,2011,65200,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE146,2011,75100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE147,2011,76100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE148,2011,64200,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE149,2011,57700,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE2,2011,70100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE21,2011,82900,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE211,2011,107400,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE212,2011,90600,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE213,2011,56400,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE214,2011,85100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE215,2011,52300,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE216,2011,55500,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE217,2011,61200,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,DE218,2011,70300,
